Latitude,Longitude,Location,Name,Quantity,Type
41.917275,-87.666899,1935 N. Elston,"1935 N. Elston, Public Arts Building",1,Type B
41.995824,-87.660152,6241 North Broadway,"Green Element Resale, 6241 N. Broadway",2,Type B
41.880154,-87.628118,122 S. State,122 S. State,1,Type B
41.900158,-87.627525,932 North Rush Street,Lululemon athletica,1,Type B
41.852352,-87.680554,2151 S Leavitt,2151 S Leavitt,1,Type B
41.961394,-87.683833,Montrose & Lincoln,Montrose & Lincoln,3,Decorative
41.879105,-87.633749,South Wells Street,JW Marriott  Barrera,1,Type B
41.877649,-87.637128,300 South Wacker Drive,300 S. Wacker,2,Type B
41.895523,-87.690184,2521 West Chicago Avenue,Star lounge coffee bar,1,Type B
41.807423,-87.673122,4747 S Winchester Ave,Hedges Elementary School-4747 S Winchester Ave,4,Type B
41.872771,-87.629408,720-736 South Dearborn Street,728 S Dearborn,2,Type B
41.691715,-87.67122,1973 West 111th Street,1977 West 111th Street - Beverley Barber Shop,1,Type B
41.91777,-87.69897098,2840 W. Armitage,Middlebrow's gastropub,2,Type B
41.9387595,-87.74880651,",4849 W. Belmont","Brite Dental,4849 W. Belmont",1,Type B
41.883422,-87.642081,560 West Washington Street,560 W. Washington Blvd,2,Type B
41.794875,-87.588049,5500 South Lake Park Avenue,1521 E 55th St,1,Type B
41.911213,-87.677665,1616 North Damen Avenue,1616 North Damen Avenue,1,Decorative
41.98074379,-87.80542984,"7111 W.	Higgins Avenue",Teaser's Public House,1,Type B
41.957851,-87.724756,4215 North Elston Avenue,4215 North Elston Ave - DS Bicycles,1,Type B
41.808635,-87.687727,2514-2522 West 47th Street,Village Discount Outlet-2514 W. 47th Street,1,Type B
41.744112,-87.614351,400 East 83rd Street,400 East 83rd Street - Red Snapper Fish Chicken,1,Type B
41.9322378,-87.67272121,1735 W Diversey,Regal Loft Apartments,1,Type B
41.944927,-87.649693,3452 North Halsted Street,3452 North Halsted Street - Elixir,1,Type B
41.952893,-87.769042,5651-5653 West Irving Park Road,Chicago Muay Thai Kickboxing Club,2,Type B
41.9458115,-87.779135,"6100 W. Addison Street, Lubiana Bar","6100 W. Addison Street, Lubiana Bar",1,Type B
41.900751,-87.626953,40 E Oak St.,40 E Oak St.,1,Type B
41.69929264,-87.53490596,10759 S Ewing,Seven Eleven,1,Type B
41.915636,-87.687702,1858 North Western Avenue,1856 - 1858 North Western Avenue,2,Type B
41.943742,-87.649725,3400-3402 North Halsted Street,3400 North Halsted Street - Beatnix,3,Type B
41.939646,-87.673542,1770 W. Belmont,1770 W. Belmont,1,Type B
41.808599,-87.665533,1614 West 47th,1614 West 47th - Walgreens,1,Type B
41.857625,-87.660525,1343 West 18th Street,China Dragon Restaurant-1343 W 18th Street,1,Type B
41.91690849,-87.69582063,1957 N Fairfield Ave,Residence,2,Type B
41.817367,-87.694488,4157 S. California,"4157 S. California, Del Ray Taco",2,Type B
41.86276922,-87.71039183,Douglas/S. Homan Plaza,Douglas/S. Homan Plaza,2,Type B
41.917481,-87.727258,4014 West Armitage Avenue,Thrifters Delight - 4112 W. Armitage,1,Type B
41.92573404,-87.74641398,2448 N Cicero Ave,Jolee's Barber Shop,2,Type B
41.89429998,-87.6722805,1800 W Huron,1800 W Huron,1,Type B
41.741929,-87.709946,8300 S. St. Louis,Ashburn Community Academy,1,Type B
41.72063426,-87.53517007,9625 S Ewing,EL QUETZAL RESTAURANT,1,Type B
41.70809652,-87.53560092,10300 S Ewing,EL TAPATIO SUPERMERCADO,1,Type B
41.932041,-87.723458,3832 North Avers Avenue,Brew Brew Coffee Lounge,1,Type B
41.86130662,-87.70927725,1440 S. Christiana Ave,KIPP Ascend Primary,2,Type B
41.85609942,-87.66604291,1859 S. Ashland,US Post Office- Pilsen,1,Type B
41.884105,-87.636465,123 North Wacker Drive,123 N Wacker Dr,2,Type B
41.85807,-87.656909,1208 West 18th Street,Prospectus Art Gallery-1210 W 18th Street,1,Type B
41.93844062,-87.77226092,5819 W Belmont Ave,Jess Cafe,1,Type B
41.878105,-87.641591,564 West Jackson Boulevard,564 W Jackson Blvd,2,Type B
41.945223,-87.649621,3448-3458 North Halsted Street,3458 North Halsted - Hydrate,1,Type B
41.91027915,-87.70779989,3230 W North Ave,Roesers Bakery,1,Type B
41.953725,-87.687717,2335-2337 West Irving Park Road,2333 W Irving Park Rd,1,Type B
41.736093,-87.669404,1834-1838 West 87th Street,1836 West 87th Street - Dream Child,1,Type B
41.881912,-87.63676,1 S Wacker Drive,1 S Wacker Drive,2,Type B
41.92067812,-87.74195227,4600 Palmer,Bikes & Roses,1,Corral
41.744195,-87.573159,2101-2109 East 83rd Street,2107 East 83rd Street - Royal Experience Hair Studio,1,Type B
41.887842,-87.661866,347 North Loomis Street,The Music Garage,2,Type B
41.877855,-87.631301,111 West Jackson Boulevard,111 W Jackson,2,Type B
41.93546189,-87.78308598,3030 N Mobile Ave,Steinmetz College Prep,1,Type B
41.996385,-87.808226,6325 North Avondale Avenue,Barbell Compound gym.,1,Type B
41.653138,-87.601057,901 East 133rd Place,Carver Elementary,5,Type B
41.92093186,-87.69449608,2214 N Milwaukee,Jules Pet Shop,2,Type B
41.685723,-87.60767,600 East 115th Street,600 East 115th Street - McDonald's,1,Type B
41.91998188,-87.69281701,2140 N Milwaukee Ave,Pilot Project Brewing,4,Type B
41.938103,-87.687639,3111-3117 North Western Avenue,Constellation/Links Hall,2,Type B
41.91805894,-87.69462929,"2021 N.	Point St.",Chase Elementary,2,Type B
41.902479,-87.674179,1148 N. Honore,Lasalle II Elementary school,2,Type B
41.93847253,-87.76868134,5657 W Belmont Ave,Gran Discover,1,Type B
41.943208,-87.649052,3343-3355 North Halsted Street,3349 North Halsted Street - Sidetrack,1,Type B
41.946235,-87.6498,3524 North Halsted Street,3524 North Halsted Street - Camp Wiggles,1,Type B
41.87367104,-87.70292841,3049 W. Harrison,Menta Academy,1,Type B
41.91720187,-87.75693511,5222 W Grand Ave,Family Dollar,1,Type B
41.855474,-87.6253,1935 S. Wabash Ave,1935 S. Wabash Ave,2,Type B
41.98311401,-87.71328555,3346 W Bryn Mawr,Bryn Mawr Breakfast Club,1,Type B
41.743271,-87.658769,8256-8258 South Loomis Boulevard,1404 West 83rd Street,1,Type B
41.968672,-87.713105,3338-3360 West Lawrence Avenue,3358 West Lawrence Avenue - T Mobile,1,Type B
41.95016,-87.683332,3747-3753 North Leavitt Street,"2157 W. Grace Street., Grace & Leavitt Tavern",2,Type B
41.92720506,-87.73599343,4343 W. Wrightwood Ave,"Kelvyn Park High School, 4343 W. Wrightwood Ave",10,Type B
41.947822,-87.649503,3625 North Halsted,3625 North Halsted - Phoenix Electric Manufacturing,1,Type B
41.731656,-87.552357,9007 South Exchange Avenue,Mireles Academy Elementary,2,Type B
41.955318,-87.65457,4025 N. Sheridan Rd,4025 N. Sheridan Rd,1,Type B
41.952082,-87.650534,837 W Sheridan Rd,837 W Sheridan Rd,1,Type B
41.878483,-87.627232,14 East Jackson Boulevard,10 E Jackson,2,Type B
41.997579,-87.689713,2351 W. Devon,Devon Oasis,1,Type B
41.791525,-87.587556,1451 E. 57th Street,1451 E. 57th Street,2,Type B
41.889801,-87.621523,439 N City front Plaza Dr,439 North City Front Plaza,1,Type B
41.890888,-87.655484,1119-1123 West Grand Avenue,1119 W Grand Ave - MANE Salon,1,Type B
41.886049,-87.671885,2137 W. Walnut,Midwest Coast Brewing Company,1,Corral
41.928963,-87.649149,2558 North Halsted Street,Las Fuentes,1,Type B
41.95415303,-87.67280746,1733 W.  Irving Park,1733 W.  Irving Park,1,Type B
41.831252,-87.614792,454 E. 35th,"Strip Mall/ Bus Stop, 454 E. 35th",2,Type B
41.8730082,-87.72525157,617 S. Pulaski,DuWells,1,Type B
41.886936,-87.629357,West Upper Wacker Drive,E. Riverwalk Entrance 1,2,Type B
41.948302,-87.649022,3627-3635 North Halsted Street,3631 North Halsted Street - Dakota Building,1,Type B
41.93858664,-87.76258317,5419 W. Belmont,"Dental Clinic, 5419 W. Belmont",1,Type B
41.931949,-87.702374,2957 North Sacramento Avenue,2759 N Sacramento Ave,1,Type B
41.884448,-87.639141,150 North Riverside,150 North Riverside,2,Type B
41.92445454,-87.74823828,4846 W Fullerton,Iglesia Cristiana Verbo,1,Decorative
41.795958,-87.788134,5300 S Natoma Ave,"St Daniel the Prophet Church, 5300 S Natoma Ave",4,Type B
41.925859,-87.701626,2437-2457 North Milwaukee Avenue,"Paulie Gee's, 2451 N. Milwaukee Ave",2,Type B
41.830947,-87.676756,3455 S Archer Ave,"Treasures Depot, 3455 S Archer Ave",1,Type B
41.87981024,-87.66775309,1645 W. Ogden,Precession Human Performance,2,Type B
41.901191,-87.630334,1016 North Dearborn Street,The Ruth Page Foundation,1,Type B
41.86075992,-87.70556052,1511 S. Kedzie,Holy Sanctuary Community Church,1,Type B
41.964979,-87.75824,4639 N. Milwaukee,"4639 N. Milwaukee, Chris's Billiards",1,Type B
41.977943,-87.756629,5328-5330 North Leamington Avenue,Forest Glen Animal Hospital,1,Type B
41.92707,-87.65129329,2482 N Lincoln Ave,Printer's Row Coffee Co,1,Type B
41.87337964,-87.7260378,4013 W. Harrison,Church,1,Type B
41.893926,-87.631183,648 N. Clark,Studio Three,3,Type B
41.864566,-87.624072,1345 S. Michigan,Teja's Yoga /Max Synergy,2,Type B
41.895758,-87.634526,200 West Superior Street,200 West Superior Street,2,Type B
41.903339,-87.678203,2020-2022 West Division Street,2022 West Division Street,1,Type B
41.929489,-87.688327,2600-2648 North Western Avenue,Regal Cinema City North 14,2,Type B
41.830781,-87.677497,3480 South Archer Avenue,"3480 W. Archer, New ArcView Restaurant",1,Type B
41.71560442,-87.53555383,9904 S Ewing,WILLING WORKERS CHURCH,1,Type B
41.935281,-87.718092,2978 North Milwaukee Avenue,"2976-78 N Milwaukee, Grocery Store",1,Type B
41.93256301,-87.64099101,2755 N Pine Grove,2755 N Pine Grove,1,Type B
41.772726,-87.586756,6714 South Stony Island Avenue,Stony Island Arts Bank,2,Type B
41.978744,-87.667969,5321 North Clark Street,Clark & Summerdale,1,Type B
41.895848,-87.633079,150 West Superior Street,150 W. Superior,2,Type B
41.980475,-87.668075,5417-5419 North Clark Street,5419 North Clark Street,1,Type B
41.931805,-87.704726,3057 West Diversey Avenue,jasonhammel@lulacafe.com,2,Type B
42.008228,-87.66744,1440 West Morse Avenue,1432 W Morse,1,Type B
41.990378,-87.732289,4124 West Peterson Avenue,"4124 West Peterson, CorePower Yoga Sauganash",2,Type B
41.88713,-87.629745,Chicago Riverwalk,Riverwalk Entrance,2,Type B
41.822914,-87.694831,3858 South California Avenue,3858 S. California Ave.,1,Type B
41.73582,-87.646896,907 West 87th Street,917 West 87th Street - Harold's Chicken,1,Type B
41.856178,-87.661491,1856 South Loomis Street,1856 S. Loomis St.,2,Type B
41.900077,-87.662784,1010 North Noble Street,Noble Street College Prep,1,Type B
41.943246,-87.65943,1207 West Roscoe Street,Top Cleaners,1,Type B
41.73556,-87.651701,1113-1117 West 87th Street,1117 West 87th Street - St. Killian Church,1,Type B
41.925552,-87.642548,530 W Fullerton Parkway,530 W Fullerton Parkway,2,Type B
41.92200409,-87.69730812,2209 N California,California Food Mart,1,Type B
41.898188,-87.67956,915 N. Hoyne Ave,915 N. Hoyne Ave,1,Type B
41.96624,-87.678855,4635-4639 North Damen Avenue,Damen Brown Line Station 4646 N Damen Ave,3,Type B
41.707413,-87.681287,10225-10227 South Western Avenue,Blazin' Cycle,1,Type B
41.910807,-87.670354,1706 W North Ave,1706 W North Ave,1,Type B
41.758569,-87.616981,330-334 East 75th Street,Brown Sugar Bakery,1,Type B
41.908387,-87.674623,1462 North Milwaukee Avenue,1462 N. Milwaukee Ave,1,Type B
41.868441,-87.641137,540 West Grenshaw Street,Chipotle @ Clinton and Dekoven,1,Type B
41.886454,-87.626294,35 E. Wacker,"Active Transportation Alliance, 35 E. Wacker",2,Type B
41.845217,-87.684439,2555 S Blue Island Ave,2555 S Blue Island Ave,1,Type B
41.858013,-87.664559,1518 West 18th Street,1518 w 18th St.,1,Type B
41.870694,-87.627353,833 S. State St,"Fit Results, 833 S. State St",2,Type B
42.017072,-87.673077,7305 North Rogers Avenue,7305 North Rogers Avenue,1,Type B
41.857907,-87.66002,1327 W.18th,"Lakshmi Hair Salon & Spa, 1327 W.18th",1,Type B
41.934756,-87.653583,2909 North Sheffield Avenue,Barcocina,2,Type B
41.9459159,-87.77116636,5752 W. Addison,"Prime Barber Lounge, 5752 W. Addison",1,Type B
41.968762,-87.687688,4801 N Claremont Ave,4801 N Claremont Ave,2,Decorative
41.844068,-87.704745,2609 South Kedzie Avenue,McDonald's-2609 S. Kedzie,1,Type B
41.888072,-87.623558,"Pedway, 111 E Wacker Drive",111 E Wacker Drive,6,Type B
41.921066,-87.688032,2140 North Western Avenue,2134 North Western Avenue - Fresh Market Place,1,Type B
41.85428,-87.675729,2015 South Damen Avenue,Pilsen Outpost-1958 W 21st Street,1,Type B
41.885892,-87.648433,820 West Lake Street,"820 W. Lake, Momotaro",2,Type B
41.91153,-87.653142,1623 N. Sheffield Ave,"1623 N. Sheffield Ave, World Market",1,Type B
41.932834,-87.65941301,2800 - 2812 N Lincoln Ave,2800 - 2812 N Lincoln Ave,1,Type B
41.961867,-87.669784,4400-4412 North Ashland Avenue,1608 W. Montrose Ave,1,Type B
41.92055337,-87.7752142,5952 W Grand Ave,A&R Food,1,Type B
41.922854,-87.645496,2246-2252 North Lincoln Avenue,Children's Empirical LLC,1,Type B
41.88999,-87.633003,154 W Hubbard Street,154 W Hubbard Street,1,Type B
41.92387581,-87.76080711,5359 W Fullerton Ave,Salud Family Health,1,Decorative
41.945905,-87.649721,3512 North Halsted Street,3512 North Halsted Street,1,Type B
41.96192787,-87.65014243,804 West Montrose,"804 West Montrose, Peter Rubi Market",2,Type B
41.96827091,-87.71498529,3441 W. Lawrence Ave,Dulce De Leche Café,1,Type B
41.851656,-87.695792,2803-2807 West Cermak Road,Cocula Restaurant-2801 W. Cermak Rd.,2,Type B
41.968169,-87.709966,3235-3241 West Lawrence Avenue,3239 West Lawrence Avenue - Family Dollar,1,Type B
41.906141,-87.648834,821 West Evergreen Avenue,811 W. Evergreen Ave.,2,Type B
41.914228,-87.683703,1812 N. Milwaukee Avenue,The StopAlong - 1812 N. Milwaukee Avenue,1,Type B
41.921052,-87.677913,2152 North Damen Avenue,"2152 N. Damen, S. of Bristol",1,Decorative
41.922003,-87.697496,2206 North California Avenue,2210 North California Avenue - Boiler Room,1,Corral
41.91981822,-87.69246833,2128 N Milwaukee Ave,Bike Lane Bike Shop,2,Type B
41.917653,-87.701318,2952 West Armitage Avenue,Parson's Chicken & Fish,2,Type B
41.885419,-87.633895,182 W. Lake St,182 W. Lake St,2,Type B
41.723442,-87.643612,9350-9352 South Halsted Street,9350 South Halsted Street - Donta's Hair and Nail Salon,1,Type B
41.98388597,-87.72878172,5634 N Pulaski,Wonder Montessori School,2,Type B
42.01453901,-87.69013595,7315 N. Western Ave,"Mah Tovu Synagogue, 7315 N. Western Ave",4,Type B
42.016167,-87.66992,7405 West Jarvis Avenue,Vtone fitness,1,Type B
41.871059,-87.653486,820 South Carpenter Street,Galileo School,4,Type B
41.7707,-87.611706,6817-6823 South South Chicago Avenue,6817 South South Chicago Avenue - Christ Family Life Center,1,Type B
41.889787,-87.637179,414 North Orleans Street,414 North Orleans Street,2,Type B
41.95888,-87.73413,4257 N. Tripp,Belding Elementary School,4,Type B
41.92395968,-87.77242718,5840 W Fullerton,State Farm / Joe's Food and Liquor,1,Type B
41.932665,-87.732627,4200 West Diversey Avenue,Shop 4200,5,Type B
41.967525,-87.658581,4701-4715 North Broadway,Uptown Underground,1,Type B
41.752065,-87.566718,2346 East 79th Street,2346 East 79th Street - Family Dollar,1,Type B
41.816827,-87.606236,810 E. 43rd St,"Some Like It Black Creative Arts Bar, 810 E. 43rd St",1,Type B
41.96619481,-87.65790961,4623 N. Broadway,Iyanze Bar and Café,1,Type B
41.93897388,-87.74250759,4600 W. Belmont,"Tony's Fresh Market / Plaza, 4600 W. Belmont",2,Type B
41.952119,-87.649888,3834 North Broadway,3834 North Broadway - CrossFit Defined,1,Type B
41.85472127,-87.71514738,3600 W. Ogden,Westside Association Community,1,Type B
41.924465,-87.753908,5100-5106 West Fullerton Avenue,5100 W. Fullerton Avenue,1,Type B
41.93361704,-87.76636517,2914 N Central Ave,Central Extra Value Liquors,1,Type B
41.746664,-87.578514,8149-8151 South South Chicago Avenue,8151 South South Chicago Avenue - Global Girls Performing Arts,1,Type B
41.944237,-87.649578,3418-3420 North Halsted Street,3418 North Halsted Street - Chicago Male Salon,1,Type B
41.925023,-87.692703,2600-2602 West Fullerton Avenue,2600 Fullerton,1,Type B
41.94384,-87.731375,3435-3437 North Milwaukee Avenue,3435 N Milwaukee Ave,2,Type B
41.924691,-87.691885,2553 West Fullerton Avenue,"2553 Fullerton Avenue, Jimmy Bean Café",1,Type B
41.92442661,-87.75111361,2401 N Lavergne,S&L Food and Liquor,1,Decorative
41.901008,-87.625119,116 East Oak Street,116 E. Oak Street - St. John Boutique,1,Type B
41.87642,-87.624862,410-412 South Michigan Avenue,410-412 South Michigan Avenue,1,Type B
41.854344,-87.673197,1854 West 21st Street,Tortilleria,1,Type B
41.882939,-87.629926,55-69 West Washington Street,69 W. Washington,3,Type B
41.906312,-87.667648,1360 N. Ashland Ave,Lowe's Wicker Park,1,Type B
41.879032,-87.635233,233 S. Wacker,"233 S. Wacker , Willis Tower on Adams St",3,Type B
41.853431,-87.719099,3738 West Ogden Avenue,3750 West Ogden Avenue,2,Type B
41.92176,-87.672712,2211 North Elston Avenue,2211 North Elston Avenue - Yoga view Chicago,1,Corral
41.87278107,-87.7131562,3456 W. Flournoy,Faith Community Baptist,1,Type B
41.895866,-87.634915,210-212 West Superior Street,212 West Superior Street,3,Type B
41.897638,-87.636372,312-314 West Institute Place,314 W. Institute Place,1,Type B
41.977594,-87.769109,5333 North Milwaukee Avenue,5333 North Milwaukee Avenue - Ham Tree Inn,3,Type B
41.91834198,-87.64982107,834 W. Armitage,Walgreens,1,Type B
41.834583,-87.622953,3301 South Michigan Avenue,1135 S. Michigan,1,Type B
41.92425498,-87.75772793,5236 W Fullerton,VMM Social Room,1,Decorative
41.997144,-87.821199,6405-6407 North Ozanam Avenue,Webster Dental,1,Type B
41.900105,-87.696817,1017 N. California,1017 N. California,3,Type B
41.886045,-87.634396,200 North Wells Street,Oakwood at 200 Squared,1,Type B
41.92322147,-87.69761389,2301 N Milwaukee Ave,WESTERN UNION,1,Type B
41.955926,-87.708309,4100-4102 North Kedzie Avenue,Brisku's Bistro,1,Corral
41.968139,-87.713568,4748 N Kimball Ave,"Huddle House Grill, 4748 N Kimball Ave",1,Type B
41.909583,-87.660633,1512 North Throop Street,Northworks Architects,2,Type B
41.85328483,-87.71814877,3701 W. Ogden,Carole Robertson Center-Learning,1,Type B
41.844562,-87.716887,3648-3658 West 26th Street,Sanchez Bike Shop,1,Type B
41.93836575,-87.77746206,6039 W Belmont Ave,Medical Plaza,1,Type B
41.949857,-87.675997,3727-3741 North Wolcott Avenue,Botanical Cafe @3740 N Lincoln Ave,2,Type B
42.012053,-87.683268,7126 North Ridge Boulevard,"Pockets, 7126 N. Ridge Blvd",1,Type B
41.968827,-87.695454,2632 West Lawrence Avenue,Harvesttime Foods,2,Type B
41.965074,-87.679073,1945 W Wilson Ave,1945 W Wilson Ave,1,Type B
41.896503,-87.640942,469 W. Chicago,469 W. Chicago,1,Type B
41.954366,-87.663539,1332 W. Irving Park Road,"Rizal Community Center, 1332 W. Irving Park Road",3,Type B
41.948316,-87.649809,3630-3656 North Halsted Street,3656 North Halsted Street - Center on Halsted,12,Type B
41.975726,-87.710659,3250 W. Foster,Luna Park Daycare,2,Type B
41.895891,-87.691942,2600 West Chicago Avenue,2600-11 W Chicago Ave,1,Type B
41.842538,-87.715747,3617 W 27th St,"AZUCAR, 3617 W 27th St",2,Type B
41.893429,-87.618474,E Ontario St/ McClurg,E Ontario St/ McClurg,1,Type B
41.94173,-87.664156,3300 North Southport Avenue,The Princess Club,1,Type B
41.92262078,-87.69748444,2226 N California Ave,TAQUERIA MORAN,1,Type B
41.93848,-87.757491,5219 West Belmont Avenue,Martinez Printing LLC,1,Type B
41.993643,-87.670995,6122 North Clark Street,"Chicago Futsal Academy, 6122 N. Clark St",2,Type B
41.884855,-87.635675,160 North Franklin Street,"W side of Franklin St, N of Randolph",1,Type B
41.93619697,-87.76634639,3039 N Central Ave,Dunkin,1,Type B
41.85867418,-87.72238352,1616 S. Avers,KIPP Ascend Middle School,4,Type B
41.88971,-87.636117,333 West Hubbard Street,333 W. Hubbard St.,2,Type B
41.891053,-87.632266,505 North La Salle Boulevard,Jimmy John's,2,Type B
41.9225923,-87.69699053,2294 N Milwaukee,Cozy Corner,4,Type B
41.92215577,-87.69727593,2211 N. California,California CTA Blue Line,2,Type B
41.93857231,-87.77094529,5752 W Belmont Ave,Best Subs #3,1,Type B
41.97641,-87.668063,5203-5205 North Clark Street,Jin Ju,1,Type B
41.87082897,-87.72077404,3808 W. Polk,Chicago Independence Boulevard Seventh-day Adventist Church,1,Type B
41.883699,-87.650601,123 North Sangamon Street,123 N. Sangamon,1,Type B
41.891068,-87.621161,240 East Illinois Street,240 E. Illinois St.,2,Type B
41.854319,-87.67297,1842-1850 West 21st Street,El Valor-1850 W 21st Street,1,Type B
41.881736,-87.635524,303 West Madison Street,303 W Madison St,2,Type B
41.950296,-87.649577,3740 North Halsted Street,3740 North Halsted Street - Halsted Flats,6,Type B
41.950356,-87.649339,3741 North Halsted,3741 North Halsted - Halsted Street Beach Tan,1,Type B
41.940044,-87.642542,500-510 W. Belmont,500-510 W. Belmont,2,Type B
41.8752,-87.633327,527 South Wells Street,527 S. Wells,1,Type B
41.93547601,-87.6975474,2959 N California Ave,2959 N California Ave,1,Type B
41.967869,-87.71358,4742-4744 North Kimball Avenue,Hot Dog Station,1,Type B
41.88664,-87.634788,225 W. Wacker,225 W. Wacker,2,Type B
41.907487,-87.667928,1414 North Ashland Avenue,1414 North Ashland Avenue,1,Type B
